x,y,theta,v_cmd,w_cmd,dist_to_goal
6.946827852734518416e+00,5.106743147591889631e+00,1.262157831745758019e+00,4.999999999999993339e-02,2.424656910270550636e-03,3.078978204824170728e+00
6.948323802927171222e+00,5.111343402248156309e+00,1.262246655125652151e+00,4.999999999999993339e-02,2.735230169816915691e-04,3.074143744723857985e+00
6.949787306017924493e+00,5.116014801247516175e+00,1.262265033446208218e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.069253545933357863e+00
6.951258825092543780e+00,5.120569121330809992e+00,1.262274304360998078e+00,4.999999999999993339e-02,5.221782123534524089e-04,3.064470629159283810e+00
6.952761840837011320e+00,5.125238490817501713e+00,1.262303946230157292e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.059568841631826963e+00
6.954195182767564987e+00,5.129804604283251912e+00,1.262303017634397229e+00,-2.000000000000000111e-01,1.712386008591249009e-03,3.054787934593854448e+00
6.954187268910700936e+00,5.129794742604746105e+00,1.262369769488959959e+00,-2.000000000000000111e-01,-1.110223024625156540e-16,3.054799909664757784e+00
6.950011519740183275e+00,5.116595954488444953e+00,1.262384500447574220e+00,4.999999999999993339e-02,9.231382165142409946e-04,3.068630753015214374e+00
6.945614513941076318e+00,5.102786261650978261e+00,1.262424469946594519e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.083111447692091556e+00
6.945373628553054957e+00,5.102035185501132553e+00,1.262415747955343948e+00,4.999999999999993339e-02,1.287971461153725183e-03,3.083899617274337590e+00
6.946806934477942619e+00,5.106601397645012419e+00,1.262448205879392660e+00,4.999999999999993339e-02,1.718861468061438913e-03,3.079118559811159006e+00
6.948293001443797579e+00,5.111210992942368136e+00,1.262516990453520949e+00,4.999999999999993339e-02,1.710685122118249524e-04,3.074278702087550386e+00
